"filename", "language", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "SCSS", "HTML", "Markdown", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\GLAVPROJECTS\amazon-dip\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 14, 74
"c:\GLAVPROJECTS\amazon-dip\frontend\eslint.config.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\GLAVPROJECTS\amazon-dip\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 21
"c:\GLAVPROJECTS\amazon-dip\frontend\package-lock.json", "JSON", 0, 3882, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3883
"c:\GLAVPROJECTS\amazon-dip\frontend\package.json", "JSON", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"c:\GLAVPROJECTS\amazon-dip\frontend\public\imgs\icons\auth\Facebook.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\GLAVPROJECTS\amazon-dip\frontend\public\imgs\icons\auth\apple.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\GLAVPROJECTS\amazon-dip\frontend\public\imgs\icons\auth\google.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\GLAVPROJECTS\amazon-dip\frontend\public\imgs\icons\auth\sellerAcc\lightning.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\GLAVPROJECTS\amazon-dip\frontend\public\imgs\icons\auth\twitter.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\GLAVPROJECTS\amazon-dip\frontend\public\imgs\icons\basket\bag.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\GLAVPROJECTS\amazon-dip\frontend\public\imgs\icons\catalog\arrowR.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
