Date : 2026-03-28 14:14:27
Directory : c:\GLAVPROJECTS\amazon-dip\frontend
Total : 121 files,  9049 codes, 219 comments, 682 blanks, all 9950 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          4 |      3,964 |          4 |          8 |      3,976 |
| SCSS               |         31 |      2,321 |        162 |        339 |      2,822 |
| TypeScript JSX     |         30 |      2,024 |         37 |        230 |      2,291 |
| TypeScript         |         32 |        500 |         16 |         67 |        583 |
| XML                |         20 |        131 |          0 |         20 |        151 |
| Markdown           |          1 |         60 |          0 |         14 |         74 |
| JavaScript         |          1 |         22 |          0 |          2 |         24 |
| HTML               |          1 |         20 |          0 |          1 |         21 |
| JSON with Comments |          1 |          7 |          0 |          1 |          8 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |        121 |      9,049 |        219 |        682 |      9,950 |
| . (Files)                                                                                          |          9 |      4,078 |          4 |         28 |      4,110 |
| public                                                                                             |         20 |        131 |          0 |         20 |        151 |
| public\imgs                                                                                        |         20 |        131 |          0 |         20 |        151 |
| public\imgs\icons                                                                                  |         20 |        131 |          0 |         20 |        151 |
| public\imgs\icons\auth                                                                             |          5 |         30 |          0 |          5 |         35 |
| public\imgs\icons\auth (Files)                                                                     |          4 |         23 |          0 |          4 |         27 |
| public\imgs\icons\auth\sellerAcc                                                                   |          1 |          7 |          0 |          1 |          8 |
| public\imgs\icons\basket                                                                           |          1 |          4 |          0 |          1 |          5 |
| public\imgs\icons\catalog                                                                          |          1 |          4 |          0 |          1 |          5 |
| public\imgs\icons\productCard                                                                      |          2 |          8 |          0 |          2 |         10 |
| public\imgs\icons\sellerAcc                                                                        |          2 |          8 |          0 |          2 |         10 |
| public\imgs\icons\yommingo                                                                         |          9 |         77 |          0 |          9 |         86 |
| src                                                                                                |         92 |      4,840 |        215 |        634 |      5,689 |
| src (Files)                                                                                        |          2 |         65 |          4 |          7 |         76 |
| src\api                                                                                            |          6 |        157 |          4 |         31 |        192 |
| src\assets                                                                                         |          9 |        215 |          6 |         25 |        246 |
| src\assets (Files)                                                                                 |          7 |        173 |          6 |         19 |        198 |
| src\assets\CatalogSlider                                                                           |          2 |         42 |          0 |          6 |         48 |
| src\auth                                                                                           |          1 |          6 |          0 |          1 |          7 |
| src\context                                                                                        |          2 |         48 |          1 |         13 |         62 |
| src\context (Files)                                                                                |          1 |          8 |          0 |          1 |          9 |
| src\context\Providers                                                                              |          1 |         40 |          1 |         12 |         53 |
| src\pages                                                                                          |         36 |      1,712 |         26 |        188 |      1,926 |
| src\pages\Auth                                                                                     |         16 |        517 |         23 |         60 |        600 |
| src\pages\Auth\Login                                                                               |          2 |         72 |          7 |         10 |         89 |
| src\pages\Auth\LoginSellerAccount                                                                  |          2 |        105 |          0 |         11 |        116 |
| src\pages\Auth\PasswordReset                                                                       |          2 |          7 |          2 |          2 |         11 |
| src\pages\Auth\Register                                                                            |          2 |         88 |          8 |         13 |        109 |
| src\pages\Auth\RegisterSellerAccount                                                               |          2 |        155 |          0 |         12 |        167 |
| src\pages\Auth\Reset                                                                               |          2 |         22 |          2 |          2 |         26 |
| src\pages\Auth\ResetSellerAccount                                                                  |          2 |         50 |          0 |          7 |         57 |
| src\pages\Auth\Welcome                                                                             |          2 |         18 |          4 |          3 |         25 |
| src\pages\User                                                                                     |          6 |        599 |          1 |         54 |        654 |
| src\pages\User\SellerAccount                                                                       |          2 |        168 |          1 |         26 |        195 |
| src\pages\User\SellerAddProduct                                                                    |          2 |        358 |          0 |         19 |        377 |
| src\pages\User\UserProfile                                                                         |          2 |         73 |          0 |          9 |         82 |
| src\pages\Yommingo                                                                                 |         14 |        596 |          2 |         74 |        672 |
| src\pages\Yommingo\YommingoAboutPage                                                               |          2 |        118 |          0 |          7 |        125 |
| src\pages\Yommingo\YommingoBasket                                                                  |          2 |         39 |          0 |          8 |         47 |
| src\pages\Yommingo\YommingoCatalog                                                                 |          2 |        100 |          0 |          8 |        108 |
| src\pages\Yommingo\YommingoCountries                                                               |          2 |         94 |          0 |          9 |        103 |
| src\pages\Yommingo\YommingoMain                                                                    |          2 |         93 |          2 |         21 |        116 |
| src\pages\Yommingo\YommingoProductCard                                                             |          2 |        122 |          0 |         15 |        137 |
| src\pages\Yommingo\YommingoSearch                                                                  |          2 |         30 |          0 |          6 |         36 |
| src\styles                                                                                         |         31 |      2,321 |        162 |        339 |      2,822 |
| src\styles (Files)                                                                                 |          1 |         28 |         16 |          6 |         50 |
